q,a
"К водопаду ведёт тропа от пешеходного подвесного моста через Катунь от туркомплекса «Царская Охота» в 2,86 км ниже по течению.",К водопаду ведёт тропа от пешеходного подвесного моста через Катунь от туркомплекса «Царская Охота» в две целых восемьдесят шесть сотых км ниже по течению.
"Длина маршрута составляла 2,5 км.",Длина маршрута составляла двух целых пяти десятых км.
"Среднегодовая температура воздуха — 3,1 °C.",Среднегодовая температура воздуха — три целых одна десятая °C.
"Уровень грамотности взрослого населения составлял 76,6 %, что выше среднеиндийского уровня (59,5 %).","Уровень грамотности взрослого населения составлял семьдесят шесть целых шесть десятых %, что выше среднеиндийского уровня (пятьдесят девять целых пять десятых %)."
"Доля городского населения составляла 24,5 %.",Доля городского населения составляла двадцать четыре целых пять десятых %.
"Площадь озера — 0,6 км².",Площадь озера — ноль целых шесть десятых км².
"Располагается на высоте 12,0 метров над уровнем моря.",Располагается на высоте двенадцати целых ноля десятых метров над уровнем моря.
"Площадь бассейна Ильма составляет 579,08 км².",Площадь бассейна Ильма составляет пятисот семидесяти девяти целых восьми сотых км².
"Длина реки 83,84 км.",Длина реки восьмидесяти трёх целых восьмидесяти четырёх сотых км.
"Бларикюм расположен на территории 15,58 км² (из них суша — 11,13 км²) на юго-востоке провинции.",Бларикюм расположен на территории пятнадцати целых пятидесяти восьми сотых км² (из них суша — одиннадцать целых тринадцать сотых км²) на юго-востоке провинции.
"У самцов рога без разветвлений около 2,5 см в высоту.",У самцов рога без разветвлений около двух целых пяти десятых см в высоту.
"Это жёлто-белый карлик, имеющий массу, равную 1,30 массы Солнца Возраст звезды оценивается приблизительно в 2,7 миллиарда лет.","Это жёлто-белый карлик, имеющий массу, равную одна целая тридцать сотых массы Солнца Возраст звезды оценивается приблизительно в две целых семь десятых миллиарда лет."
"Она все равно осталась непробиваемой для немецких пушек, но масса танка уменьшилась до 42,5 тонн, а скорость и проходимость существенно выросли.","Она все равно осталась непробиваемой для немецких пушек, но масса танка уменьшилась до сорока двух целых пяти десятых тонн, а скорость и проходимость существенно выросли."
"Батарея 8,8 Флак была направлена командиром для борьбы с этим танком.",Батарея восемь целых восемь десятых Флак была направлена командиром для борьбы с этим танком.
"Группа танков LT vz.35 отвлекла своим движением КВ, а расчёт 8,8 cm FlaK добился шести попаданий в танк, но только три снаряда сумели пробить броню танка.","Группа танков LT vz.35 отвлекла своим движением КВ, а расчёт восемь целых восемь десятых cm FlaK добился шести попаданий в танк, но только три снаряда сумели пробить броню танка."
"Наибольшая длина озера — 1,7 км, наибольшая ширина — 1,2 км.","Наибольшая длина озера — одна целая семь десятых км, наибольшая ширина — одна целая две десятых км."
"Длина береговой линии составляет 4,3 км, развитие береговой линии — 1,06.","Длина береговой линии составляет четырёх целых трёх десятых км, развитие береговой линии — одна целая шесть сотых."
"Среднегодовая температура воздуха — 8,3 °C.",Среднегодовая температура воздуха — восемь целых три десятых °C.
"Занимает площадь 3,288 км².",Занимает площадь трёх целых двухсот восьмидесяти восьми тысячных км².
"Продуктивность пыльцы пыльником 0,2 мг, растения 12,1 мг.","Продуктивность пыльцы пыльником ноль целых две десятых мг, растения двенадцать целых одна десятая мг."
"Пьяцца-дель-Дуомо стала настоящим сердцем города после постройки на ней в XIII веке колокольни Джотто и собора Санта-Мария-дель-Фьоре (его венчает крупнейший в мире купол из кирпичной кладки на известковом растворе диаметром 45,52 м).",Пьяцца-дель-Дуомо стала настоящим сердцем города после постройки на ней в XIII веке колокольни Джотто и собора Санта-Мария-дель-Фьоре (его венчает крупнейший в мире купол из кирпичной кладки на известковом растворе диаметром сорока пяти целых пятидесяти двух сотых м).
"Занимает площадь 14,49 км².",Занимает площадь четырнадцати целых сорока девяти сотых км².
