q,a
"В галактике вспыхнула сверхновая SN 2008dv типа Ic, её пиковая видимая звездная величина составила 18,2.","В галактике вспыхнула сверхновая SN 2008dv типа Ic, её пиковая видимая звездная величина составила восемнадцать целых две десятых."
"Настоящие ужи — змеи средних размеров, хотя отдельные особи могут достигать 1,2—2,4 метра в длину.","Настоящие ужи — змеи средних размеров, хотя отдельные особи могут достигать одна целая две десятых—две целых четыре десятых метра в длину."
"Ширина фасада: 61,60 м",Ширина фасада: шестьдесят одна целая шестьдесят сотых м
"Ширина нефа: 11,30 м",Ширина нефа: одиннадцать целых тридцать сотых м
"Длина хора: 34,30 м",Длина хора: тридцать четыре целых тридцать сотых м
"Ширина хора: 12,70 м",Ширина хора: двенадцать целых семьдесят сотых м
"Ручей пещеры, расходующий воду в мае в количестве 0,08 м³/с, связан с источниками на Курджипсе и окрашен.","Ручей пещеры, расходующий воду в мае в количестве ноля целых восьми сотых м³/с, связан с источниками на Курджипсе и окрашен."
"В галактике вспыхнула сверхновая SN 2006az типа Ia, её пиковая видимая звездная величина составила 17,1.","В галактике вспыхнула сверхновая SN 2006az типа Ia, её пиковая видимая звездная величина составила семнадцать целых одна десятая."
"Новый тягач получил совершенно новую кабину модульной конструкции шириной 2,5 м. с двумя спальными местами, холодильником и множеством отсеков для хранения.","Новый тягач получил совершенно новую кабину модульной конструкции шириной двух целых пяти десятых м. с двумя спальными местами, холодильником и множеством отсеков для хранения."
"Внутренняя высота кабины (от пола до потолка) составляет 2,16 м. и позволяет стоять в полный рост.",Внутренняя высота кабины (от пола до потолка) составляет двух целых шестнадцати сотых м. и позволяет стоять в полный рост.
"Задний мост собственного производства имеет гипоидный редуктор, применяемые передаточные числа 2,47 или 2,64.","Задний мост собственного производства имеет гипоидный редуктор, применяемые передаточные числа две целых сорок семь сотых или две целых шестьдесят четыре сотых."
"Также, на LL применяется задний мост с меньшим передаточным числом: 2,31 (в качестве опции доступен и 2,47).","Также, на LL применяется задний мост с меньшим передаточным числом: двумя целых тридцатью одной сотой (в качестве опции доступен и две целых сорок семь сотых)."
Реабилитирован посмертно 21.03.,Реабилитирован посмертно двадцать одна целая три сотых.
"Общая протяжённость — 1,10 км.",Общая протяжённость — одна целая десять сотых км.
"Общая протяжённость улицы Грибоедова составляет 1,17 километров.",Общая протяжённость улицы Грибоедова составляет одной целой семнадцати сотых километров.
Основной стандарт AWS — AWS D1.1/D1.1M Structural Welding Code — Steel (Нормы и правила выполнения сварки строительных конструкций — Сталь) — ежегодно обновляется и является нормативным документом в области сварки.,Основной стандарт AWS — AWS D1.1/D1.1M Structural Welding Code — Steel (Нормы и правила выполнения сварки строительных конструкций — Сталь) — ежегодно обновляется и является нормативным документом в области сварки.
"Окаменелости представителей этого рода известны с мелового до четвертичного периода (возрастной диапазон: от 140,2 до 0,0 миллионов лет назад).",Окаменелости представителей этого рода известны с мелового до четвертичного периода (возрастной диапазон: от сто сорока целых двух десятых до ноль целых ноль десятых миллионов лет назад).
"Сумма трансфера составила 1,7 млн. евро.",Сумма трансфера составила одна целая семь десятых млн. евро.
"Плотность населения — 205,24 чел/кв.км.",Плотность населения — двести пять целых двадцать четыре сотых чел/кв.км.
"Среднегодовая многолетняя температура воздуха составляет 2,7 °С.",Среднегодовая многолетняя температура воздуха составляет две целых семь десятых °С.
"Средняя температура воздуха самого тёплого месяца (июля) — 18,7 °C (абсолютный максимум — 36,6 °C); самого холодного (января) — −13,5 °C (абсолютный минимум — −47,5 °C).",Средняя температура воздуха самого тёплого месяца (июля) — восемнадцать целых семь десятых °C (абсолютный максимум — тридцать шесть целых шесть десятых °C); самого холодного (января) — −тринадцать целых пять десятых °C (абсолютный минимум — −сорок семь целых пять десятых °C).
"выше по течению на расстоянии в 2,5 км расположено село Василевка,","выше по течению на расстоянии в две целых пять десятых км расположено село Василевка,"
"ниже по течению на расстоянии в 4,5 км расположено село Андреевка.",ниже по течению на расстоянии в четыре целых пять десятых км расположено село Андреевка.
"Занимает площадь 80,88 км².",Занимает площадь восьмидесяти целых восьмидесяти восьми сотых км².
"Покрышка была выполнена из плетёной стальной проволоки (волокон) толщиной 0,84 мм с цинковым покрытием.",Покрышка была выполнена из плетёной стальной проволоки (волокон) толщиной ноля целых восьмидесяти четырёх сотых мм с цинковым покрытием.
"Максимальная высота автомобиля составляла 1,1 м.",Максимальная высота автомобиля составляла одной целой одной десятой м.
"В начале XXI века «индустрия самосовершенствования, включающая книги, семинары, аудио и видеопродукцию, а также персональный коучинг, [была] оценена в 2,48 миллиарда долларов в год» только в Соединённых Штатах.","В начале XXI века «индустрия самосовершенствования, включающая книги, семинары, аудио и видеопродукцию, а также персональный коучинг, [была] оценена в две целых сорок восемь сотых миллиарда долларов в год» только в Соединённых Штатах."
"Так, например, «курение увеличивает риск смертности всего в 1,6 раза, в то время как социальная изоляция — в 2,0 раза… что говорит о дополнительной ценности групп самопомощи, таких как Анонимные алкоголики, как суррогатных сообществ».","Так, например, «курение увеличивает риск смертности всего в одну целую шесть десятых раза, в то время как социальная изоляция — в две целых ноль десятых раза… что говорит о дополнительной ценности групп самопомощи, таких как Анонимные алкоголики, как суррогатных сообществ»."
"Занимает площадь 0,7 км².",Занимает площадь ноля целых семи десятых км².
"Занимает площадь 7,73 км².",Занимает площадь семи целых семидесяти трёх сотых км².
"Для передачи команд на борт использовалась частота 145,25 МГц.",Для передачи команд на борт использовалась частота сто сорока пяти целых двадцати пяти сотых МГц.
"Среднегодовая скорость ветра составляет 3,6 м/с.",Среднегодовая скорость ветра составляет трёх целых шести десятых м/с.
"Средняя температура января составляет −9,5°, июля — +19,5°.","Средняя температура января составляет −девять целых пять десятых°, июля — +1девять целых пять десятых°."
"Крупнейшими акционерами China State Construction Engineering Corporation являются SASAC (57,6 %), Dajia Life Insurance (11,3 %), Anbang Insurance Group (3,43 %), China Securities Finance (3,06 %) и China Investment Corporation (1,45 %).","Крупнейшими акционерами China State Construction Engineering Corporation являются SASAC (пятьдесят семь целых шесть десятых %), Dajia Life Insurance (одиннадцать целых три десятых %), Anbang Insurance Group (три целых сорок три сотых %), China Securities Finance (три целых шесть сотых %) и China Investment Corporation (одна целая сорок пять сотых %)."
