q,a
"Занимает площадь 10,20 км².",Занимает площадь десяти целых двадцати сотых км².
"Среднегодовая температура воздуха — 2,5 °C.",Среднегодовая температура воздуха — две целых пять десятых °C.
"Телефон оснащен дисплеем Super AMOLED Plus FHD + 6,7 дюйма.",Телефон оснащен дисплеем Super AMOLED Plus FHD + шести целых семи десятых дюйма.
"Вглубь материка или острова не залетает, гнёзда устраивает на расстоянии не более 0,5 км от воды.","Вглубь материка или острова не залетает, гнёзда устраивает на расстоянии не более ноля целых пяти десятых км от воды."
"Протяжённость улицы составляет около 1,2 км.",Протяжённость улицы составляет около одной целой двух десятых км.
"Ближайшие к улице Катерников остановочные пункты железной дороги, Сосновая Поляна и Лигово, находятся на расстояниях около 2,6 км и 3,1 км по прямой от конца улицы соответственно.","Ближайшие к улице Катерников остановочные пункты железной дороги, Сосновая Поляна и Лигово, находятся на расстояниях около двух целых шести десятых км и три целых одна десятая км по прямой от конца улицы соответственно."
"Около 3,5 тыс. человек (большинство из них женщины) умерли в результате операции.",Около три целых пять десятых тыс. человек (большинство из них женщины) умерли в результате операции.
"Утулик находится в водоохранной зоне озера Байкал, поэтому там запрещены экологически опасные производства, поэтому экологическое состояние Утулика можно оценить как благоприятное.","Утулик находится в водоохранной зоне озера Байкал, поэтому там запрещены экологически опасные производства, поэтому экологическое состояние Утулика можно оценить как благоприятное."
"в связи с этим Утулик становится популярным у туристов, и для защиты нетронутой природной среды от чрезмерного негативного нерегулируемого антропогенного влияния было запланировано создание природного парка «Утулик-Бабха» в качестве ООПТ регионального уровня общей площадью 7,2 га.","в связи с этим Утулик становится популярным у туристов, и для защиты нетронутой природной среды от чрезмерного негативного нерегулируемого антропогенного влияния было запланировано создание природного парка «Утулик-Бабха» в качестве ООПТ регионального уровня общей площадью семи целых двух десятых га."
"Опрыскивание поверхности изделий водой перед их выходом из печи снижает упёк на 0,5 % и способствует образованию глянца поверхности.",Опрыскивание поверхности изделий водой перед их выходом из печи снижает упёк на ноль целых пять десятых % и способствует образованию глянца поверхности.
Полковник (пр. 07.1916).,Полковник (пр. семь целых одна тысяча девятьсот шестнадцать десятитысячных).
"Занимает площадь 55,85 км².",Занимает площадь пятидесяти пяти целых восьмидесяти пяти сотых км².
Приз «Серебряный Георгий» (включая 20.000 $) за лучший фильм конкурса «Перспективы»,Приз «Серебряный Георгий» (включая двадцать целых ноль тысячных $) за лучший фильм конкурса «Перспективы»
"Занимает площадь 623,453 км².",Занимает площадь шестисот двадцати трёх целых четырёхсот пятидесяти трёх тысячных км².
"Плотность населения — 3,8 чел./км².",Плотность населения — три целых восемь десятых чел./км².
"Согласно Бюро переписи населения США, общая площадь города составляет 85.1 км², включая 84.6 км² суши и 0.5 км² водной поверхности.","Согласно Бюро переписи населения США, общая площадь города составляет восьмидесяти пяти целых одной десятой км², включая восьмидесяти четырёх целых шести десятых км² суши и ноль целых пять десятых км² водной поверхности."
"Плотность населения была 1207,6 человек на км².",Плотность населения была одна тысяча двести семь целых шесть десятых человек на км².
"91,04 % белых (включая 9,82 % латиноамериканцев)",девяносто одна целая четыре сотых % белых (включая девять целых восемьдесят две сотых % латиноамериканцев)
"0,66 % афроамериканцев",ноль целых шестьдесят шесть сотых % афроамериканцев
"0,65 % коренных американцев",ноль целых шестьдесят пять сотых % коренных американцев
"2,17 % азиатов",две целых семнадцать сотых % азиатов
"0,07 % выходцев с тихоокеанских островов",ноль целых семь сотых % выходцев с тихоокеанских островов
"3,08 % других рас",три целых восемь сотых % других рас
"Длина составляет около 51,2 км; площадь бассейна — 550,9 км².",Длина составляет около пятидесяти одной целой двух десятых км; площадь бассейна — пятьсот пятьдесят целых девять десятых км².
"Средний расход воды — 17,4 м³/с.",Средний расход воды — семнадцать целых четыре десятых м³/с.
"Под строительство был выделен участок размером 4,5 га.",Под строительство был выделен участок размером четырёх целых пяти десятых га.
"У работников завода есть возможность купить квартиру в этом комплексе в ипотеку под 7,3 % годовых — таких условий не предоставляет ни один банк.",У работников завода есть возможность купить квартиру в этом комплексе в ипотеку под семь целых три десятых % годовых — таких условий не предоставляет ни один банк.
"В общей сложности в Израиле наблюдались около 3,5 % известных в мире видов животных и растений, в основном благодаря близости к двум богатым биологическими видами морям — Средиземному и Красному.","В общей сложности в Израиле наблюдались около три целых пять десятых % известных в мире видов животных и растений, в основном благодаря близости к двум богатым биологическими видами морям — Средиземному и Красному."
"Длина головогруди самцов от 3,2 до 4,5 мм, у самок от 3,35 до 5,5 мм.","Длина головогруди самцов от три целых две десятых до четырёх целых пяти десятых мм, у самок от трёх целых тридцати пяти сотых до пяти целых пяти десятых мм."
"Самцы отличаются от прочих Agelenini строением гениталий, широким последним члеником педипальп цимбиумом (он в 1,5 раза длиннее своей ширины) с короткой вершиной; у всех других родов соотношение длины и ширины больше чем 1,5 и вершина цимбиума длиннее.","Самцы отличаются от прочих Agelenini строением гениталий, широким последним члеником педипальп цимбиумом (он в одну целую пять десятых раза длиннее своей ширины) с короткой вершиной; у всех других родов соотношение длины и ширины больше чем одну целую пять десятых и вершина цимбиума длиннее."
Bergens Schakklub si heimeside (sjå 03.04.2008 med nekrolog av Øystein Brekke),Bergens Schakklub si heimeside (sjå 03.04.2008 med nekrolog av Øystein Brekke)
"{\displaystyle k=1,2,}","{\displaystyle k=1,2,}"
"За последние два десятилетия значительно выросла сфера услуг, которая составляет теперь 67,4 % в ВВП штата.","За последние два десятилетия значительно выросла сфера услуг, которая составляет теперь шестьдесят семь целых четыре десятых % в ВВП штата."
1.1 диссертации Голубевой.,одна целая одна десятая диссертации Голубевой.
"В 7,3 км от устья по правому берегу реки впадает река Сарка.",В семи целых трёх десятых км от устья по правому берегу реки впадает река Сарка.
"Деревня находится в северо-восточной части области, в подзоне южной тайги, на расстоянии примерно 0,5 километра (по прямой) к северо-востоку от города Данилова, административного центра района.","Деревня находится в северо-восточной части области, в подзоне южной тайги, на расстоянии примерно ноля целых пяти десятых километра (по прямой) к северо-востоку от города Данилова, административного центра района."
"Среднегодовая температура воздуха — +3,5 °C.",Среднегодовая температура воздуха — три целых пять десятых °C.
"Среднегодовая скорость ветра — 4,7 м/с.",Среднегодовая скорость ветра — четыре целых семь десятых м/с.
"Площадь территории хутора составляет — 0,79 км2, на которые приходятся 0,62 % от общей площади сельского поселения.","Площадь территории хутора составляет — ноль целых семьдесят девять сотых км2, на которые приходятся ноль целых шестьдесят две сотых % от общей площади сельского поселения."
Плотность — 89.87 чел./км2.,Плотность — восемьдесят девять целых восемьдесят семь сотых чел./км2.
"Площадь озера — 1,5 км², площадь водосборного бассейна — 8,9 км².","Площадь озера — одна целая пять десятых км², площадь водосборного бассейна — восемь целых девять десятых км²."
"Располагается на высоте 70,7 метров над уровнем моря.",Располагается на высоте семидесяти целых семи десятых метров над уровнем моря.
"Ближайшие — деревни Кохтусельга и Койвусельга — расположены в 7,5 км к северо-востоку и, соответственно, к юго-востоку от озера.","Ближайшие — деревни Кохтусельга и Койвусельга — расположены в семь целых пять десятых км к северо-востоку и, соответственно, к юго-востоку от озера."
"Занимает площадь 17,44 км².",Занимает площадь семнадцати целых сорока четырёх сотых км².
"Среднегодовая температура воздуха — 3,5 °C.",Среднегодовая температура воздуха — три целых пять десятых °C.
"Финансовые потери от введения санкций ООН приблизительно равны $6,39 млрд.",Финансовые потери от введения санкций ООН приблизительно равны $шесть целых тридцать девять сотых млрд.
"Страны Африки — 0,15 % (0,5 млн долларов)-?",Страны Африки — ноль целых пятнадцать сотых % (ноль целых пять десятых млн долларов)-?
"Расовый состав населения: белые — 98,79 %, афроамериканцы — 0,13 %, коренные американцы (индейцы) — 0,23 %, азиаты — 0,20 %, гавайцы — 0,02 %, представители других рас — 0,08 %, представители двух или более рас — 0,56 %.","Расовый состав населения: белые — девяносто восемь целых семьдесят девять сотых %, афроамериканцы — ноль целых тринадцать сотых %, коренные американцы (индейцы) — ноль целых двадцать три сотых %, азиаты — ноль целых двадцать сотых %, гавайцы — ноль целых две сотых %, представители других рас — ноль целых восемь сотых %, представители двух или более рас — ноль целых пятьдесят шесть сотых %."
"Испаноязычные составляли 0,47 % населения независимо от расы.",Испаноязычные составляли ноль целых сорок семь сотых % населения независимо от расы.
"Средний размер домашнего хозяйства составляет 2,48 человека, и средний размер семьи 2,92 человека.","Средний размер домашнего хозяйства составляет две целых сорок восемь сотых человека, и средний размер семьи две целых девяносто две сотых человека."
"Общая длина моста составляет 123,1 м, ширина — 12,8 м.","Общая длина моста составляет сто двадцати трёх целых одной десятой м, ширина — двенадцать целых восемь десятых м."
"Площадь — 30,5 км².",Площадь — тридцать целых пять десятых км².
"Высота: 5,20 м",Высота: пять целых двадцать сотых м
"Размах: 7,27 м",Размах: семь целых двадцать семь сотых м
"Электрическая система: 2,00 кВт в среднем.",Электрическая система: две целых ноль сотых кВт в среднем.
"Занимает площадь 13,32 км².",Занимает площадь тринадцати целых тридцати двух сотых км².
"Галактика имеет высокий темп звездообразования, 9,8 M⊙/год.","Галактика имеет высокий темп звездообразования, девять целых восемь десятых M⊙/год."
"Сельскохозяйственные угодья составляли 1,3 млн га, из них:","Сельскохозяйственные угодья составляли одна целая три десятых млн га, из них:"
