q,a
"Среднегодовая температура воздуха — 4,8 °C.",Среднегодовая температура воздуха — четыре целых восемь десятых °C.
"Расовый состав: белые — 89,8 %, афроамериканцы — 1,0 %, коренные американцы — 7,1 % и представители двух и более рас — 1,4 %.","Расовый состав: белые — восемьдесят девять целых восемь десятых %, афроамериканцы — одна целая ноль десятых %, коренные американцы — семь целых одна десятая % и представители двух и более рас — одна целая четыре десятых %."
"1,8 % населения были латиноамериканцами.",одна целая восемь десятых % населения были латиноамериканцами.
"Средний возраст населения — 43,2 лет.",Средний возраст населения — сорок три целых две десятых лет.
"5,5 % — женщины, проживающие без мужей и 2,8 % — мужчины, проживающие без жён.","пять целых пять десятых % — женщины, проживающие без мужей и две целых восемь десятых % — мужчины, проживающие без жён."
"36,0 % не имели семьи.",тридцать шесть целых ноль десятых % не имели семьи.
"В среднем домашнее хозяйство ведут 2,24 человека, а средний размер семьи — 2,84 человека.","В среднем домашнее хозяйство ведут две целых двадцать четыре сотых человека, а средний размер семьи — две целых восемьдесят четыре сотых человека."
"5,3 % от всего числа семей в Бон-Хомме и 10,8 % от всей численности населения находилось на момент переписи за чертой бедности.",пять целых три десятых % от всего числа семей в Бон-Хомме и десять целых восемь десятых % от всей численности населения находилось на момент переписи за чертой бедности.
"Среднегодовая температура воздуха — 1,4 °С.",Среднегодовая температура воздуха — одна целая четыре десятых °С.
"Согласно новым, уточнённым, измерениям, компоненты разделены между собой расстоянием в 33,6 а. е.","Согласно новым, уточнённым, измерениям, компоненты разделены между собой расстоянием в тридцать три целых шесть десятых а. е."
"(4,94""), совершая полный оборот вокруг общего центра масс за 151,6 лет.","(четыре целых девяносто четыре сотых""), совершая полный оборот вокруг общего центра масс за сто пятьдесят одну целую шесть десятых лет."
"Активность звёздных недр является причиной переменности: блеск ξ Волопаса A варьируется между 4,52 и 4,67 видимой звёздной величиной с периодичностью каждые 10,13 суток, что причисляет её к переменным типа BY Дракона.","Активность звёздных недр является причиной переменности: блеск ξ Волопаса A варьируется между четырьмя целых пятьюдесятью двумя сотых и четырьмя целых шестьюдесятью семью сотых видимой звёздной величиной с периодичностью каждые десяти целых тринадцати сотых суток, что причисляет её к переменным типа BY Дракона."
"Плотность населения — 5,5 чел / км².",Плотность населения — пять целых пять десятых чел / км².
"В последний год выступления в команде колледжа Джабриль набирал в среднем 6,2 очка и 6,3 передач.",В последний год выступления в команде колледжа Джабриль набирал в среднем шесть целых две десятых очка и шесть целых три десятых передач.
"В процессе приготовлений экспедиционный корпус был сокращен в десять раз и составил около 3,5 тыс. солдат.",В процессе приготовлений экспедиционный корпус был сокращен в десять раз и составил около три целых пять десятых тыс. солдат.
"Занимает площадь 0,109 км².",Занимает площадь ноля целых сто девяти тысячных км².
"Объём воды — 0,0275 км³.",Объём воды — ноль целых двести семьдесят пять десятитысячных км³.
"Площадь — 16,2 км², объём — 27,5 млн м³.","Площадь — шестнадцать целых две десятых км², объём — двадцать семь целых пять десятых млн м³."
"Высота над уровнем моря — 12,6 метра.",Высота над уровнем моря — двенадцать целых шесть десятых метра.
"Заместитель начальника Национальной службы гидрометеорологии Васиф Алиев отметил, что согласно результатам, образцы зеленоватого цвета, имеют болотный запах, жесткость составляет 1,8, ион хлорида 15,5, ион аммония 5,3, ион сульфата превышает в 2,5 раза.","Заместитель начальника Национальной службы гидрометеорологии Васиф Алиев отметил, что согласно результатам, образцы зеленоватого цвета, имеют болотный запах, жесткость составляет одна целая восемь десятых, ион хлорида пятнадцать целых пять десятых, ион аммония пять целых три десятых, ион сульфата превышает в две целых пять десятых раза."
"В целом ионы превышают норму в 11,6 раз.",В целом ионы превышают норму в одиннадцать целых шесть десятых раз.
"Часть тиража альбома была укомплектована DVD-диском, содержащем весь альбом «Systematic Chaos» в многоканальном формате 5.1, а также полуторачасовой документальный фильм «Chaos In Progress: The Making of Systematic Chaos», повествующем о записи альбома.","Часть тиража альбома была укомплектована DVD-диском, содержащем весь альбом «Systematic Chaos» в многоканальном формате пять целых одну десятую, а также полуторачасовой документальный фильм «Chaos In Progress: The Making of Systematic Chaos», повествующем о записи альбома."
"По данным всемирной книги фактов ЦРУ, ислам исповедуют 89,1 % населения.","По данным всемирной книги фактов ЦРУ, ислам исповедуют восемьдесят девять целых одна десятая % населения."
"Продолжительность работы аккумуляторов рассчитана на 6,5 лет.",Продолжительность работы аккумуляторов рассчитана на шести целых пяти десятых лет.
"Для сверхсветовых полётов используется тахионный шунт с максимальной скоростью 0,74 световых года за стандартные сутки.",Для сверхсветовых полётов используется тахионный шунт с максимальной скоростью ноля целых семидесяти четырёх сотых световых года за стандартные сутки.
"Занимает площадь 12,5 км².",Занимает площадь двенадцати целых пяти десятых км².
"Занимает площадь 0,97 км².",Занимает площадь ноля целых девяноста семи сотых км².
"Занимает площадь 3,21 км².",Занимает площадь трёх целых двадцати одной сотой км².
"УрбанизацияВ городских условиях (Тугулым) проживают 30,32 % населения городского округа.",УрбанизацияВ городских условиях (Тугулым) проживают тридцать целых тридцать две сотых % населения городского округа.
"Кавах имеет низкий уровень ph, который не превышает значения 0,2.","Кавах имеет низкий уровень ph, который не превышает значения ноль целых две десятых."
