q,a
"The First Auction for Algorithms Is Attracting $1,000 Bids",The First Auction for Algorithms Is Attracting $одна целая ноль тысячных Bids
"The World’s 1st Computer Algorithm, Written by Ada Lovelace, Sells for $125,000 at Auction","The World’s 1st Computer Algorithm, Written by Ada Lovelace, Sells for $сто двадцать пять целых ноль тысячных at Auction"
"Когда Лукашенко объявил о своей победе с 80,1 % голосов, оппозиция отказалась признать результаты выборов, обвинив его в массовых фальсификациях.","Когда Лукашенко объявил о своей победе с восемьдесят целых одна десятая % голосов, оппозиция отказалась признать результаты выборов, обвинив его в массовых фальсификациях."
"Общая площадь — 194,37 км²",Общая площадь — сто девяносто четыре целых тридцать семь сотых км²
"Он собрал $30,3 млн за первые выходные и стал самым успешным концертным фильмом в США с точки зрения кассовых сборов.",Он собрал $тридцать целых три десятых млн за первые выходные и стал самым успешным концертным фильмом в США с точки зрения кассовых сборов.
"Радиола (103,0 МГц)",Радиола (сто три целых ноль десятых МГц)
"Нородом Ранарит был обвинён в присвоении 3,6 миллиона долларов от продажи штаб-квартиры во французском посольстве.",Нородом Ранарит был обвинён в присвоении три целых шесть десятых миллиона долларов от продажи штаб-квартиры во французском посольстве.
"103.11, диаметр 49,7 км, глубина 2,4 км.","сто три целых одиннадцать сотых, диаметр сорока девяти целых семи десятых км, глубина двух целых четырёх десятых км."
"Среднегодовая температура воздуха — 3,2 °C.",Среднегодовая температура воздуха — три целых две десятых °C.
"Занимает площадь 15,66 км².",Занимает площадь пятнадцати целых шестидесяти шести сотых км².
"По данным Бюро переписи населения США площадь тауншипа составляет 91,7 км², из которых 91,7 км² занимает суша, а 3,6 км² — вода (3,95 %).","По данным Бюро переписи населения США площадь тауншипа составляет девяноста одной целой семи десятых км², из которых девяноста одной целой семи десятых км² занимает суша, а три целых шесть десятых км² — вода (три целых девяносто пять сотых %)."
"Плотность населения —  2,9 чел./км².",Плотность населения —  две целых девять десятых чел./км².
"Расовый состав населения: 98,81 % белых, 0,40 % афроамериканцев, 0,40 % коренных американцев и 0,40 % приходится на две или более других рас.","Расовый состав населения: девяносто восемь целых восемьдесят одна сотая % белых, ноль целых сорок сотых % афроамериканцев, ноль целых сорок сотых % коренных американцев и ноль целых сорок сотых % приходится на две или более других рас."
"Средний размер домохозяйства — 2,86, а семьи — 3,37 человека.","Средний размер домохозяйства — две целых восемьдесят шесть сотых, а семьи — три целых тридцать семь сотых человека."
"Всего в Ленэкспо будет развернуто 2,5 тысячи коек.",Всего в Ленэкспо будет развернуто две целых пять десятых тысячи коек.
"Он предложил уменьшить длину корпуса до 62,33 метра, а ширину корпуса без обшивки оставить 14,33 метра.","Он предложил уменьшить длину корпуса до шестидесяти двух целых тридцати трёх сотых метра, а ширину корпуса без обшивки оставить четырнадцать целых тридцать три сотых метра."
"Ожидалась, что осадка в грузу составит носом — 6,1 метра, а кормой — 6,4 метра.","Ожидалась, что осадка в грузу составит носом — шесть целых одна десятая метра, а кормой — шесть целых четыре десятых метра."
"На мерной миле «Аскольд» развил скорость под парами 8,25 узла.",На мерной миле «Аскольд» развил скорость под парами восьми целых двадцати пяти сотых узла.
"Длина по ватерлинии 61,6 метра, длина между перпендикулярами 62,6 метра, ширина 14,78 метра, осадка 6,1 метра (носом), 6,4 метра (кормой).","Длина по ватерлинии шестьдесят одна целая шесть десятых метра, длина между перпендикулярами шестидесяти двух целых шести десятых метра, ширина четырнадцати целых семидесяти восьми сотых метра, осадка шести целых одной десятой метра (носом), шесть целых четыре десятых метра (кормой)."
"На испытаниях фрегат показал скорость под парами 8,25 узла.",На испытаниях фрегат показал скорость под парами восьми целых двадцати пяти сотых узла.
"На фрегате размещались четыре двурогих якоря со штоками, каждый массой от 2,8 до 3,1 тонн.","На фрегате размещались четыре двурогих якоря со штоками, каждый массой от двух целых восьми десятых до трёх целых одной десятой тонн."
"Один стоп-анкер массой 0,8 тонны, верпы железные — по 0,57, 0,49, 0,41 и 0,24 тонны.","Один стоп-анкер массой ноля целых восьми десятых тонны, верпы железные — по нолю целых пятидесяти семи сотых, нолю целых сорока девяти сотых, нолю целых сорока одной сотой и нолю целых двадцати четырём сотых тонны."
"Площадь озера — 0,6 км², площадь водосборного бассейна — 6,2 км².","Площадь озера — ноль целых шесть десятых км², площадь водосборного бассейна — шесть целых две десятых км²."
"Располагается на высоте 106,8 метров над уровнем моря.",Располагается на высоте сто шести целых восьми десятых метров над уровнем моря.
"Боевая масса 22,6 тонн.",Боевая масса двадцать две целых шесть десятых тонн.
"Занимает площадь 39,65 км².",Занимает площадь тридцати девяти целых шестидесяти пяти сотых км².
"Согласно данным бюро переписи США, площадь города составляет около 7,9 км2, из которых 7,8 км2 занято сушей, а менее 0,2 км2 — водная поверхность.","Согласно данным бюро переписи США, площадь города составляет около семи целых девяти десятых км2, из которых семь целых восемь десятых км2 занято сушей, а менее ноля целых двух десятых км2 — водная поверхность."
"Расовый состав города: 94,5 % — белые, 0,7 % — афроамериканцы, 0,7 % —","Расовый состав города: девяносто четыре целых пять десятых % — белые, ноль целых семь десятых % — афроамериканцы, ноль целых семь десятых % —"
"Число испаноязычных жителей любых рас составило 8,9 %.",Число испаноязычных жителей любых рас составило восемь целых девять десятых %.
"Средний размер домохозяйства составлял 2,38 человека.",Средний размер домохозяйства составлял две целых тридцать восемь сотых человека.
"Средний размер семьи — 2,92 человека.",Средний размер семьи — две целых девяносто две сотых человека.
"Средний возраст составляет 45,2 года.",Средний возраст составляет сорок пять целых две десятых года.
8.4.5 для CarPC,8.четырёх целых пяти десятых для CarPC
8.1 для Windows Phone,восемь целых одна десятая для Windows Phone
7.2 для Symbian,семь целых две десятых для Symbian
Оригинальный звук — стерео 2.0.,Оригинальный звук — стерео две целых ноль десятых.
"Среднегодовая температура воздуха — +3,6 °C.",Среднегодовая температура воздуха — три целых шесть десятых °C.
"Среднегодовая скорость ветра — 3,6 м/с.",Среднегодовая скорость ветра — три целых шесть десятых м/с.
"Занимает площадь 71,44 км².",Занимает площадь семидесяти одной целой сорока четырёх сотых км².
"Площадь озера — 0,6 км².",Площадь озера — ноль целых шесть десятых км².
"Располагается на высоте 144,4 метров над уровнем моря.",Располагается на высоте сто сорока четырёх целых четырёх десятых метров над уровнем моря.
"Ближайший — посёлок Райконкоски — расположен в 8,5 км к ЮВВ от озера.",Ближайший — посёлок Райконкоски — расположен в восемь целых пять десятых км к ЮВВ от озера.
"По данным Бюро переписи населения США площадь тауншипа составляет 92,3 км², из которых 88,3 км² занимает суша, а 3,9 км² — вода (4,27 %).","По данным Бюро переписи населения США площадь тауншипа составляет девяноста двух целых трёх десятых км², из которых восьмидесяти восьми целых трёх десятых км² занимает суша, а три целых девять десятых км² — вода (четыре целых двадцать семь сотых %)."
"Плотность населения — 5,4 чел./км².",Плотность населения — пять целых четыре десятых чел./км².
"Расовый состав населения: 98,32 % белых, 1,47 % афроамериканцев и 0,21 % азиатов.","Расовый состав населения: девяносто восемь целых тридцать две сотых % белых, одна целая сорок семь сотых % афроамериканцев и ноль целых двадцать одна сотая % азиатов."
"Испанцы или латиноамериканцы любой расы составляли 1,47 % от популяции тауншипа.",Испанцы или латиноамериканцы любой расы составляли одна целая сорок семь сотых % от популяции тауншипа.
"Средний размер домохозяйства — 2,66, а семьи — 3,06 человека.","Средний размер домохозяйства — две целых шестьдесят шесть сотых, а семьи — три целых шесть сотых человека."
"Среднегодовая температура воздуха — 3,2 °C.",Среднегодовая температура воздуха — три целых две десятых °C.
"Город занимает территорию 199,2 км², из которых 75,4 км² составляет вода.","Город занимает территорию сто девяноста девяти целых двух десятых км², из которых семидесяти пяти целых четырёх десятых км² составляет вода."
"Часть этого района часто называется «Золотой Милей» («Golden Mile») (в действительности 0,76 км в длину) из-за того, что там расположено много банков и фирм.","Часть этого района часто называется «Золотой Милей» («Golden Mile») (в действительности ноль целых семьдесят шесть сотых км в длину) из-за того, что там расположено много банков и фирм."
"Международный аэропорт Luis Muñoz Marín, главный гражданский аэропорт Сан-Хуана, находится в 12,7 км от старого Сан-Хуана в соседней Каролине.","Международный аэропорт Luis Muñoz Marín, главный гражданский аэропорт Сан-Хуана, находится в двенадцать целых семь десятых км от старого Сан-Хуана в соседней Каролине."
